investorid,investorname,companyid
790,Index Ventures,274
791,Inova Ventures Participacees,274
792,General Atlantic,275
793,Insight Partners,275
794,Vintage Investment Partners,275
795,HD Capital,276
796,Qihoo 360 Technology,276
797,China Fortune Land Development,276
798,Notion Capital,277
799,Scentan Ventures,277
800,Kite Ventures,277
801,Goldman Sachs Asset Management,278
802,KKR,279
803,T. Rowe Price,280
804,Lockheed Martin Ventures,280
805,Fidelity Investment,280
806,General Atlantic,281
807,Piton Capital,281
808,Partech Partners,281
809,Redpoint Ventures,282
810,Goldcrest Capital,282
811,Insight Partners,282
812,Contour Venture Partners,283
813,Battery Ventures,283
814,Core Capital Partners,283
815,Insight Partners,284
816,Jackson Square Ventures,284
817,Liberty Gloval Ventures,284
818,None,285
819,JD.com,286
820,Baidu,286
821,Vision Plus Capital,286
822,Accel,287
823,frst,287
824,Kima Ventures,287
825,Foundry Group,288
826,General Atlantic,288
827,BlackRock,288
828,Rhone Capital,289
829,FAW Group,290
830,Tencent Holdings,290
831,Tus Holdings,290
832,Goldman Sachs,291
833,VebVentures,291
834,Insight Partners,291
835,Coatue Managemeny,292
836,Trinity Ventures,292
837,Matrix Partners,292
838,Chiratae Ventures,293
839,PremjiInvest,293
840,Softbank,293
841,Accel,294
842,Tiger Global Management,294
843,Nexus Venture Partners,294
844,Warburg Pincus,295
845,The Rise Fund,295
846,HarbourVest Partners,295
847,Aspect Ventures,296
848,SingTel Innov8,296
849,Greylock Partners,296
850,CRV,297
851,Accel,297
852,Google Ventures,297
853,Accel,298
854,Bain Capital Ventures,298
855,Insight Partners,298
856,Sequoia Capital India,299
857,Kae Capital,299
858,Accel,299
859,Chiratae Ventures,300
860,March Capital Partners,300
861,National Grid Partners,300
862,The Blue Venture Fund,301
863,Flare Capital Partners,301
864,Longitude Capital,301
865,Soros Fund Management,302
866,Ribbit Capital,302
867,Monashees+,302
868,Sequoia Capital India,303
869,RTP Global,303
870,Go-Ventures,303
871,Shunwei Capital Partners,305
872,China Media Group,305
873,Guangzhou Huiyin Aofeng Equity Investment Fund,305
874,Shunwei Capital Partners,306
875,China Media Group,306
876,Guangzhou Huiyin Aofeng Equity Investment Fund,306
877,Google Ventures,307
878,Sequoia Capital,307
879,Wakefield Group,307
880,Info Edge,308
881,Softbank Capital,308
882,Norwest Venture Partners,309
883,Aspect Ventures,309
884,Lightspeed Venture Partners,309
885,Menlo Ventures,310
886,GGV Capital,310
887,Flybridge Capital Partners,310
888,T. Rowe Price,311
889,Dragoneer Investment Group,311
890,BlackRock,311
891,Emergence Capital Partners,312
893,Chicago Ventures,312
894,Octopus Ventures,313
895,Munich Re Ventures,313
896,CommerzVentures,313
897,Kibo Ventures,314
898,SoftBank Group,314
899,Atomico,314
900,Warburg Pincus,315
901,General Catalyst,315
902,IMM Investment,316
903,NXC,316
904,V FUND,317
905,IDG Capital,317
906,Green Pine Capital Partners,317
907,Tencent Holdings,318
908,Goldman Sachs,318
909,Revolution,319
910,New Enterprise Associates,319
911,Caterpillar,319
912,Google Ventures,320
913,Index Ventures,320
914,Scale Venture Partners,320
915,RedBird Capital Partners,321
916,CJ ENM,321
917,Tencent Holdings,321
918,Relay Ventures,322
919,TTV Capital,322
920,Canapi Ventures,322
921,Temasek,323
922,Google Ventures,323
923,General Catalyst,323
924,Summit Partners,324
925,Noshaq,324
926,Sofinnova Partners,324
927,Goodwater Capital,325
928,Warburg Pincus,325
929,GS Growth,325
930,Global Founders Capital,326
931,Aglae Ventures,326
932,Alven Capital,326
933,Softbank Group,327
934,AME Cloud Ventures,327
935,SignalFire,327
936,Accel,328
937,Alven Capital,328
938,Storm Ventures,328
939,Knox Lane,329
940,Ainge Advisory,329
941,"Carlson Private Capital Partners,/td>",329
942,Sequoia Capital,330
943,Expa,331
944,QED Investors,331
945,Foundation Capital,331
946,Pantera Capital,332
947,QED Investors,332
948,Coinbase Ventures,332
949,General Atlantic,333
950,SoftBank Group,333
951,Atomico,333
952,Sierra Ventures,334
953,Battery Ventures,334
954,Asset Management Ventures,334
955,Andreessen Horowitz,335
956,Google Ventures,335
957,Section 32,335
958,Eastern Bell Capital 32,336
959,SDIC CMC Investment Management,336
960,Trustbridge Partners,336
961,Bain Capital Ventures,337
962,Sixth Street Growth,337
963,Lightspeed Venture Partners,337
964,Zhangjiang Haocheng Venture Capital,338
965,Walden International,338
966,Intel Capital,338
967,Deer Park Road,339
968,Altamont Capital Partners,339
969,Eldridge,339
970,Lightspeed China Partners,340
971,Baidu Ventures,340
972,Qiming Venture Partners,340
973,Sequoia Capital China,341
974,Banyan Capital,341
975,8VC,342
976,D1 Capital Partners,342
977,Sway Ventures,342
978,GAM Holding,343
979,Eight Roads Ventures,344
980,One Peak Partners,344
981,Creandum,344
